ticker,feature,max_repeat_run,max_repeat_span_days
,nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_67%_of_average_wage,12,4017.0
,nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_2_children_67%_of_average_wage,2,366.0
,nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_67%_of_average_wage,22,7671.0
,nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_2_children_67%_of_average_wage,2,366.0
,nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_67%_of_average_wage,22,7671.0
,nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,22,7671.0
,nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_central_government_taxable_income_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
